="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="mc_white",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00",="-0.00",="0.01",="0.24***",="-0.01**",="-0.02*",="-0.00",="-0.02",="-0.01",="-0.01",="-0.00",="-0.04",="0.27***",="-0.19*",="0.24***",="0.00",="-0.00",="0.01",="0.24***",="-0.01**",="-0.02*",="-0.00",="-0.02",="-0.01",="-0.01",="-0.00",="-0.04",="0.27***",="-0.18*",="0.24***",="0.00",="-0.00",="0.01",="0.23***",="-0.01**",="-0.02*",="-0.00",="-0.02",="-0.01",="-0.01",="-0.00",="-0.04",="0.27***",="-0.18*",="0.23***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="[-0.01,0.01]",="[-0.01,0.00]",="[-0.00,0.01]",="[0.14,0.34]",="[-0.02,-0.00]",="[-0.05,-0.00]",="[-0.01,0.00]",="[-0.04,0.01]",="[-0.02,0.01]",="[-0.01,0.00]",="[-0.01,0.00]",="[-0.10,0.03]",="[0.16,0.38]",="[-0.33,-0.04]",="[0.14,0.34]",="[-0.01,0.01]",="[-0.01,0.00]",="[-0.00,0.01]",="[0.14,0.34]",="[-0.02,-0.00]",="[-0.05,-0.00]",="[-0.01,0.00]",="[-0.04,0.01]",="[-0.02,0.01]",="[-0.01,0.00]",="[-0.01,0.00]",="[-0.10,0.03]",="[0.16,0.38]",="[-0.33,-0.04]",="[0.14,0.34]",="[-0.01,0.01]",="[-0.01,0.00]",="[-0.00,0.01]",="[0.13,0.34]",="[-0.02,-0.00]",="[-0.05,-0.00]",="[-0.01,0.00]",="[-0.04,0.01]",="[-0.02,0.01]",="[-0.01,0.00]",="[-0.01,0.00]",="[-0.10,0.03]",="[0.16,0.38]",="[-0.33,-0.04]",="[0.13,0.34]"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.902)",="(0.076)",="(0.136)",="(0.000)",="(0.007)",="(0.046)",="(0.228)",="(0.162)",="(0.359)",="(0.156)",="(0.223)",="(0.263)",="(0.000)",="(0.012)",="(0.000)",="(0.922)",="(0.070)",="(0.125)",="(0.000)",="(0.005)",="(0.037)",="(0.212)",="(0.150)",="(0.338)",="(0.144)",="(0.207)",="(0.251)",="(0.000)",="(0.013)",="(0.000)",="(0.918)",="(0.071)",="(0.127)",="(0.000)",="(0.006)",="(0.040)",="(0.217)",="(0.154)",="(0.341)",="(0.146)",="(0.212)",="(0.254)",="(0.000)",="(0.013)",="(0.000)"
="mc_mat_hs",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.05***",="0.02***",="-0.06***",="1.57***",="0.09***",="0.16***",="0.02***",="0.07***",="0.09***",="0.06***",="0.02***",="0.47***",="1.10***",="-2.31***",="1.57***",="0.05***",="0.02***",="-0.06***",="1.57***",="0.08***",="0.16***",="0.02***",="0.07***",="0.09***",="0.06***",="0.02***",="0.47***",="1.10***",="-2.30***",="1.57***",="0.05***",="0.02***",="-0.06***",="1.57***",="0.08***",="0.15***",="0.02***",="0.07***",="0.09***",="0.06***",="0.02***",="0.47***",="1.10***",="-2.30***",="1.57***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="[0.04,0.05]",="[0.02,0.02]",="[-0.07,-0.06]",="[1.47,1.68]",="[0.08,0.09]",="[0.14,0.18]",="[0.02,0.02]",="[0.06,0.09]",="[0.08,0.10]",="[0.06,0.07]",="[0.01,0.02]",="[0.43,0.52]",="[0.99,1.21]",="[-2.43,-2.18]",="[1.47,1.68]",="[0.04,0.05]",="[0.02,0.02]",="[-0.07,-0.06]",="[1.47,1.67]",="[0.08,0.09]",="[0.14,0.18]",="[0.01,0.02]",="[0.06,0.09]",="[0.08,0.10]",="[0.06,0.07]",="[0.01,0.02]",="[0.42,0.52]",="[0.99,1.21]",="[-2.43,-2.17]",="[1.47,1.67]",="[0.04,0.05]",="[0.02,0.02]",="[-0.07,-0.06]",="[1.47,1.68]",="[0.08,0.09]",="[0.13,0.17]",="[0.01,0.02]",="[0.05,0.09]",="[0.08,0.10]",="[0.06,0.07]",="[0.01,0.02]",="[0.42,0.52]",="[0.99,1.21]",="[-2.43,-2.17]",="[1.47,1.68]"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="mc_mat_coll",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.04***",="0.04***",="-0.08***",="0.11**",="0.08***",="0.16***",="0.02***",="0.07***",="0.10***",="0.08***",="0.02***",="0.59***",="-0.48***",="-0.98***",="0.11**",="0.04***",="0.04***",="-0.08***",="0.11**",="0.08***",="0.15***",="0.02***",="0.07***",="0.10***",="0.08***",="0.02***",="0.59***",="-0.47***",="-0.98***",="0.11**",="0.04***",="0.04***",="-0.08***",="0.11**",="0.08***",="0.15***",="0.02***",="0.07***",="0.10***",="0.08***",="0.02***",="0.59***",="-0.48***",="-0.98***",="0.11**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="[0.04,0.05]",="[0.03,0.04]",="[-0.09,-0.07]",="[0.03,0.19]",="[0.07,0.09]",="[0.13,0.18]",="[0.01,0.03]",="[0.04,0.09]",="[0.09,0.11]",="[0.07,0.09]",="[0.02,0.03]",="[0.51,0.66]",="[-0.57,-0.38]",="[-1.12,-0.84]",="[0.03,0.19]",="[0.04,0.05]",="[0.03,0.04]",="[-0.09,-0.07]",="[0.03,0.19]",="[0.07,0.09]",="[0.13,0.18]",="[0.01,0.03]",="[0.04,0.09]",="[0.09,0.11]",="[0.07,0.09]",="[0.01,0.03]",="[0.51,0.66]",="[-0.57,-0.38]",="[-1.12,-0.83]",="[0.03,0.19]",="[0.04,0.05]",="[0.03,0.04]",="[-0.09,-0.07]",="[0.03,0.19]",="[0.07,0.09]",="[0.13,0.18]",="[0.01,0.03]",="[0.04,0.09]",="[0.09,0.11]",="[0.07,0.09]",="[0.02,0.03]",="[0.51,0.66]",="[-0.57,-0.38]",="[-1.12,-0.83]",="[0.03,0.19]"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.010)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.010)",="(0.000)",="(0.000)",="(0.000)",="(0.009)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.009)",="(0.000)",="(0.000)",="(0.000)",="(0.010)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.010)"
="mc_complications",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00",="0.00",="-0.00",="-0.11*",="0.01",="0.04**",="0.00",="0.01",="0.01",="0.00",="0.00",="0.05",="-0.16**",="0.08",="-0.11*",="0.00",="0.00",="-0.00",="-0.11*",="0.01",="0.04**",="0.00",="0.01",="0.01",="0.00",="0.00",="0.05",="-0.16**",="0.08",="-0.11*",="0.00",="0.00",="-0.00",="-0.11*",="0.01",="0.04**",="0.00",="0.01",="0.01",="0.00",="0.00",="0.05",="-0.16**",="0.08",="-0.11*"
