="mc_mat_hs",="-0.24***",="0.00",="0.01***",="0.01***",="-0.11***",="-0.00***",="-0.20***",="",="0.22***",="-0.02***",="0.08**",="0.03***",="-0.00",="-0.01**",="0.00",="0.00"
="",="[-0.32,-0.16]",="[-0.00,0.01]",="[0.01,0.02]",="[0.00,0.01]",="[-0.12,-0.11]",="[-0.00,-0.00]",="[-0.21,-0.20]",="",="[0.22,0.23]",="[-0.02,-0.01]",="[0.02,0.13]",="[0.02,0.03]",="[-0.01,0.00]",="[-0.01,-0.00]",="[-0.00,0.01]",="[-0.00,0.01]"
="",="(0.000)",="(0.609)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="(0.000)",="(0.000)",="(0.006)",="(0.000)",="(0.156)",="(0.002)",="(0.284)",="(0.266)"
="mc_mat_coll",="3.09***",="-0.01*",="-0.02***",="0.01***",="-0.10***",="0.00***",="0.01*",="0.23***",="",="0.06***",="-0.13***",="0.01*",="-0.05***",="-0.01***",="-0.00",="0.00"
="",="[3.01,3.16]",="[-0.01,-0.00]",="[-0.02,-0.01]",="[0.01,0.01]",="[-0.11,-0.10]",="[0.00,0.00]",="[0.00,0.01]",="[0.23,0.24]",="",="[0.05,0.06]",="[-0.19,-0.08]",="[0.00,0.01]",="[-0.06,-0.05]",="[-0.01,-0.00]",="[-0.01,0.00]",="[-0.01,0.01]"
="",="(0.000)",="(0.017)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.023)",="(0.000)",="",="(0.000)",="(0.000)",="(0.034)",="(0.000)",="(0.000)",="(0.413)",="(0.924)"
="mc_mat_married",="1.27***",="0.03***",="-0.00**",="0.01***",="-0.01***",="-0.00***",="0.11***",="-0.01***",="0.03***",="",="0.22***",="0.01***",="0.03***",="-0.00",="0.00",="-0.01***"
="",="[1.21,1.33]",="[0.03,0.04]",="[-0.01,-0.00]",="[0.01,0.01]",="[-0.02,-0.01]",="[-0.00,-0.00]",="[0.11,0.12]",="[-0.02,-0.01]",="[0.03,0.04]",="",="[0.18,0.26]",="[0.00,0.01]",="[0.03,0.04]",="[-0.00,0.00]",="[-0.00,0.01]",="[-0.02,-0.01]"
="",="(0.000)",="(0.000)",="(0.002)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="(0.000)",="(0.000)",="(0.000)",="(0.354)",="(0.462)",="(0.000)"
="mc_pnv",="0.03***",="0.00***",="0.00***",="0.00***",="0.00***",="-0.00***",="0.00***",="0.00**",="-0.00***",="0.00***",="",="0.04***",="0.01***",="-0.01***",="0.01***",="0.00"
